ANO,ESTADO,CIDADE,DATA,FERIADO
2022,AC,Santa Rosa Do Purus,01/03/2022,Carnaval
2022,AC,Epitaciolândia,01/05/2022,Dia Do Trabalho
2022,AC,Jordão,28/10/2022,Dia Do Servidor Público
2022,AC,Jordão,02/11/2022,Dia De Finados
2022,AC,Feijó,06/09/2022,Feriado Municipal
2022,AC,Mâncio Lima,25/12/2022,Natal
2022,AC,Bujari,01/03/2022,Carnaval
2022,AC,Capixaba,21/04/2022,Dia De Tiradentes
2022,AC,Capixaba,01/05/2022,Dia Do Trabalho
2022,AC,Cruzeiro Do Sul,06/08/2022,Revolução Acreana
2022,AC,Santa Rosa Do Purus,02/03/2022,Carnaval
2022,AC,Santa Rosa Do Purus,11/03/2022,Dia Da Mulher
2022,AC,Epitaciolândia,15/06/2022,Aniversário Do Acre
2022,AC,Jordão,15/11/2022,Proclamação Da República
2022,AC,Rodrigues Alves,01/01/2022,Ano Novo
2022,AC,Feijó,07/09/2022,Independência Do Brasil
2022,AC,Bujari,02/03/2022,Carnaval
2022,AC,Capixaba,15/06/2022,Aniversário Do Acre
2022,AC,Cruzeiro Do Sul,19/08/2022,Nossa Sra Da Glória
2022,AC,Santa Rosa Do Purus,15/04/2022,Sexta-Feira Santa
2022,AC,Epitaciolândia,16/06/2022,Corpus Christi
2022,AC,Jordão,18/11/2022,Tratado De Petrópolis
2022,AC,Rodrigues Alves,21/01/2022,Dia Do Católico
2022,AC,Feijó,09/09/2022,Dia Da Amazônia
2022,AC,Bujari,11/03/2022,Dia Da Mulher
2022,AC,Capixaba,16/06/2022,Corpus Christi
2022,AC,Cruzeiro Do Sul,07/09/2022,Independência Do Brasil
2022,AC,Santa Rosa Do Purus,21/04/2022,Dia De Tiradentes
2022,AC,Epitaciolândia,06/08/2022,Revolução Acreana
2022,AC,Jordão,25/12/2022,Natal
2022,AC,Rodrigues Alves,23/01/2022,Dia Do Evangélico
2022,AC,Feijó,12/10/2022,Nossa Senhora Aparecida
2022,AC,Bujari,15/04/2022,Sexta-Feira Santa
2022,AC,Capixaba,06/08/2022,Revolução Acreana
2022,AC,Cruzeiro Do Sul,09/09/2022,Dia Da Amazônia
2022,AC,Santa Rosa Do Purus,01/05/2022,Dia Do Trabalho
2022,AC,Epitaciolândia,06/09/2022,Feriado Municipal
2022,AC,Rodrigues Alves,28/02/2022,Carnaval
2022,AC,Rodrigues Alves,01/03/2022,Carnaval
2022,AC,Feijó,15/10/2022,Dia Do Professor
2022,AC,Bujari,21/04/2022,Dia De Tiradentes
2022,AC,Capixaba,06/09/2022,Feriado Municipal
2022,AC,Cruzeiro Do Sul,30/09/2022,Aniversário Da Cidade
2022,AC,Cruzeiro Do Sul,12/10/2022,Nossa Senhora Aparecida
2022,AC,Santa Rosa Do Purus,15/06/2022,Aniversário Do Acre
2022,AC,Epitaciolândia,07/09/2022,Independência Do Brasil
2022,AC,Rodrigues Alves,02/03/2022,Carnaval
2022,AC,Feijó,28/10/2022,Dia Do Servidor Público
2022,AC,Bujari,01/05/2022,Dia Do Trabalho
2022,AC,Capixaba,07/09/2022,Independência Do Brasil
2022,AC,Cruzeiro Do Sul,15/10/2022,Dia Do Professor
2022,AC,Santa Rosa Do Purus,16/06/2022,Corpus Christi
2022,AC,Epitaciolândia,09/09/2022,Dia Da Amazônia
2022,AC,Rodrigues Alves,11/03/2022,Dia Da Mulher
2022,AC,Feijó,02/11/2022,Dia De Finados
2022,AC,Feijó,15/11/2022,Proclamação Da República
2022,AC,Rio Branco,01/01/2022,Ano Novo
2022,AC,Bujari,15/06/2022,Aniversário Do Acre
2022,AC,Bujari,16/06/2022,Corpus Christi
2022,AC,Capixaba,09/09/2022,Dia Da Amazônia
2022,AC,Cruzeiro Do Sul,28/10/2022,Dia Do Servidor Público
2022,AC,Santa Rosa Do Purus,06/08/2022,Revolução Acreana
2022,AC,Epitaciolândia,12/10/2022,Nossa Senhora Aparecida
2022,AC,Rodrigues Alves,15/04/2022,Sexta-Feira Santa
2022,AC,Feijó,18/11/2022,Tratado De Petrópolis
2022,AC,Rio Branco,21/01/2022,Dia Do Católico
2022,AC,Bujari,06/08/2022,Revolução Acreana
2022,AC,Capixaba,12/10/2022,Nossa Senhora Aparecida
2022,AC,Cruzeiro Do Sul,02/11/2022,Dia De Finados
2022,AC,Santa Rosa Do Purus,07/09/2022,Independência Do Brasil
2022,AC,Epitaciolândia,15/10/2022,Dia Do Professor
2022,AC,Rodrigues Alves,21/04/2022,Dia De Tiradentes
2022,AC,Feijó,21/12/2022,Feriado Municipal
2022,AC,Rio Branco,23/01/2022,Dia Do Evangélico
2022,AC,Bujari,06/09/2022,Feriado Municipal
2022,AC,Capixaba,15/10/2022,Dia Do Professor
2022,AC,Cruzeiro Do Sul,15/11/2022,Proclamação Da República
2022,AC,Santa Rosa Do Purus,09/09/2022,Dia Da Amazônia
2022,AC,Epitaciolândia,28/10/2022,Dia Do Servidor Público
2022,AC,Rodrigues Alves,01/05/2022,Dia Do Trabalho
2022,AC,Feijó,25/12/2022,Natal
2022,AC,Rio Branco,28/02/2022,Carnaval
2022,AC,Bujari,07/09/2022,Independência Do Brasil
2022,AC,Capixaba,28/10/2022,Dia Do Servidor Público
2022,AC,Cruzeiro Do Sul,18/11/2022,Tratado De Petrópolis
2022,AC,Santa Rosa Do Purus,12/10/2022,Nossa Senhora Aparecida
2022,AC,Epitaciolândia,02/11/2022,Dia De Finados
2022,AC,Rodrigues Alves,15/06/2022,Aniversário Do Acre
2022,AC,Rio Branco,01/03/2022,Carnaval
2022,AC,Bujari,09/09/2022,Dia Da Amazônia
2022,AC,Capixaba,02/11/2022,Dia De Finados
2022,AC,Cruzeiro Do Sul,25/12/2022,Natal
2022,AC,Santa Rosa Do Purus,15/10/2022,Dia Do Professor
2022,AC,Epitaciolândia,15/11/2022,Proclamação Da República
2022,AC,Rodrigues Alves,16/06/2022,Corpus Christi
2022,AC,Rio Branco,02/03/2022,Carnaval
2022,AC,Bujari,12/10/2022,Nossa Senhora Aparecida
2022,AC,Bujari,15/10/2022,Dia Do Professor
2022,AC,Capixaba,15/11/2022,Proclamação Da República
2022,AC,Santa Rosa Do Purus,28/10/2022,Dia Do Servidor Público
2022,AC,Epitaciolândia,18/11/2022,Tratado De Petrópolis
2022,AC,Rodrigues Alves,06/08/2022,Revolução Acreana
2022,AC,Rio Branco,11/03/2022,Dia Da Mulher
2022,AC,Bujari,28/10/2022,Dia Do Servidor Público
2022,AC,Capixaba,18/11/2022,Tratado De Petrópolis
2022,AC,Santa Rosa Do Purus,02/11/2022,Dia De Finados
2022,AC,Epitaciolândia,25/12/2022,Natal
2022,AC,Rodrigues Alves,07/09/2022,Independência Do Brasil
2022,AC,Rodrigues Alves,09/09/2022,Dia Da Amazônia
2022,AC,Rio Branco,15/04/2022,Sexta-Feira Santa
2022,AC,Bujari,02/11/2022,Dia De Finados
2022,AC,Bujari,15/11/2022,Proclamação Da República
2022,AC,Capixaba,25/12/2022,Natal
2022,AC,Santa Rosa Do Purus,15/11/2022,Proclamação Da República
